PassengerID,Survived,Pclass,Sex,Age,SibSp,Parch,Fare
535,0,3,1,30,0,0,8.6625
198,0,3,0,42,0,1,8.4042
747,0,3,0,16,1,1,20.25
364,0,3,0,35,0,0,7.05
874,0,3,0,47,0,0,9
383,0,3,0,32,0,0,7.925
872,1,1,1,47,1,1,52.5542
536,1,2,1,7,0,2,26.25
515,0,3,0,24,0,0,7.4958
600,1,1,0,49,1,0,56.9292
575,0,3,0,16,0,0,8.05
57,1,2,1,21,0,0,10.5
708,1,1,0,42,0,0,26.2875
795,0,3,0,25,0,0,7.8958
2,1,1,1,38,1,0,71.2833
388,1,2,1,36,0,0,13
820,0,3,0,10,3,2,27.9
303,0,3,0,19,0,0,0
107,1,3,1,21,0,0,7.65
665,1,3,0,20,1,0,7.925
212,1,2,1,35,0,0,21
425,0,3,0,18,1,1,20.2125
787,1,3,1,18,0,0,7.4958
11,1,3,1,4,1,1,16.7
832,1,2,0,0.83,1,1,18.75
238,1,2,1,8,0,2,26.25
381,1,1,1,42,0,0,227.525
123,0,2,0,32.5,1,0,30.0708
274,0,1,0,37,0,1,29.7
347,1,2,1,40,0,0,13
495,0,3,0,21,0,0,8.05
115,0,3,1,17,0,0,14.4583
343,0,2,0,28,0,0,13
866,1,2,1,42,0,0,13
835,0,3,0,18,0,0,8.3
674,1,2,0,31,0,0,13
184,1,2,0,1,2,1,39
715,0,2,0,52,0,0,13
407,0,3,0,51,0,0,7.75
13,0,3,0,20,0,0,8.05
562,0,3,0,40,0,0,7.8958
112,0,3,1,14.5,1,0,14.4542
588,1,1,0,60,1,1,79.2
873,0,1,0,33,0,0,5
44,1,2,1,3,1,2,41.5792
770,0,3,0,32,0,0,8.3625
309,0,2,0,30,1,0,24
623,1,3,0,20,1,1,15.7417
176,0,3,0,18,1,1,7.8542
170,0,3,0,28,0,0,56.4958
158,0,3,0,30,0,0,8.05
143,1,3,1,24,1,0,15.85
384,1,1,1,35,1,0,52
9,1,3,1,27,0,2,11.1333
244,0,3,0,22,0,0,7.125
735,0,2,0,23,0,0,13
809,0,2,0,39,0,0,13
759,0,3,0,34,0,0,8.05
577,1,2,1,34,0,0,13
338,1,1,1,41,0,0,134.5
260,1,2,1,50,0,1,26
689,0,3,0,18,0,0,7.7958
294,0,3,1,24,0,0,8.85
734,0,2,0,23,0,0,13
687,0,3,0,14,4,1,39.6875
367,1,1,1,60,1,0,75.25
768,0,3,1,30.5,0,0,7.75
661,1,1,0,50,2,0,133.65
61,0,3,0,22,0,0,7.2292
479,0,3,0,22,0,0,7.5208
130,0,3,0,45,0,0,6.975
502,0,3,1,21,0,0,7.75
571,1,2,0,62,0,0,10.5
578,1,1,1,39,1,0,55.9
485,1,1,0,25,1,0,91.0792
667,0,2,0,25,0,0,13
855,0,2,1,44,1,0,26
351,0,3,0,23,0,0,9.225
875,1,2,1,28,1,0,24
849,0,2,0,28,0,1,33
631,1,1,0,80,0,0,30
382,1,3,1,1,0,2,15.7417
584,0,1,0,36,0,0,40.125
524,1,1,1,44,0,1,57.9792
400,1,2,1,28,0,0,12.65
824,1,3,1,27,0,1,12.475
621,0,3,0,27,1,0,14.4542
522,0,3,0,22,0,0,7.8958
552,0,2,0,27,0,0,26
757,0,3,0,28,0,0,7.7958
493,0,1,0,55,0,0,30.5
884,0,2,0,28,0,0,10.5
350,0,3,0,42,0,0,8.6625
168,0,3,1,45,1,4,27.9
424,0,3,1,28,1,1,14.4
580,1,3,0,32,0,0,7.925
113,0,3,0,22,0,0,8.05
401,1,3,0,39,0,0,7.925
330,1,1,1,16,0,1,57.9792
237,0,2,0,44,1,0,26
40,1,3,1,14,1,0,11.2417
148,0,3,1,9,2,2,34.375
188,1,1,0,45,0,0,26.55
685,0,2,0,60,1,1,39
282,0,3,0,28,0,0,7.8542
306,1,1,0,0.92,1,2,151.55
726,0,3,0,20,0,0,8.6625
828,1,2,0,1,0,2,37.0042
555,1,3,1,22,0,0,7.775
394,1,1,1,23,1,0,113.275
253,0,1,0,62,0,0,26.55
540,1,1,1,22,0,2,49.5
313,0,2,1,26,1,1,26
510,1,3,0,26,0,0,56.4958
340,0,1,0,45,0,0,35.5
462,0,3,0,34,0,0,8.05
468,0,1,0,56,0,0,26.55
218,0,2,0,42,1,0,27
174,0,3,0,21,0,0,7.925
423,0,3,0,29,0,0,7.875
98,1,1,0,23,0,1,63.3583
505,1,1,1,16,0,0,86.5
709,1,1,1,22,0,0,151.55
677,0,3,0,24.5,0,0,8.05
744,0,3,0,24,1,0,16.1
154,0,3,0,40.5,0,2,14.5
121,0,2,0,21,2,0,73.5
598,0,3,0,49,0,0,0
843,1,1,1,30,0,0,31
194,1,2,0,3,1,1,26
514,1,1,1,54,1,0,59.4
375,0,3,1,3,3,1,21.075
201,0,3,0,28,0,0,9.5
821,1,1,1,52,1,1,93.5
636,1,2,1,28,0,0,13
225,1,1,0,38,1,0,90
19,0,3,1,31,1,0,18
266,0,2,0,36,0,0,10.5
418,1,2,1,18,0,2,13
626,0,1,0,61,0,0,32.3208
688,0,3,0,19,0,0,10.1708
635,0,3,1,9,3,2,27.9
422,0,3,0,21,0,0,7.7333
413,1,1,1,33,1,0,90
851,0,3,0,4,4,2,31.275
652,1,2,1,18,0,1,23
90,0,3,0,24,0,0,8.05
73,0,2,0,21,0,0,73.5
607,0,3,0,30,0,0,7.8958
567,0,3,0,19,0,0,7.8958
22,1,2,0,34,0,0,13
481,0,3,0,9,5,2,46.9
696,0,2,0,52,0,0,13.5
831,1,3,1,15,1,0,14.4542
800,0,3,1,30,1,1,24.15
472,0,3,0,38,0,0,8.6625
75,1,3,0,32,0,0,56.4958
596,0,3,0,36,1,1,24.15
58,0,3,0,28.5,0,0,7.2292
332,0,1,0,45.5,0,0,28.5
660,0,1,0,58,0,2,113.275
328,1,2,1,36,0,0,13
547,1,2,1,19,1,0,26
543,0,3,1,11,4,2,31.275
697,0,3,0,44,0,0,8.05
279,0,3,0,7,4,1,29.125
323,1,2,1,30,0,0,12.35
717,1,1,1,38,0,0,227.525
444,1,2,1,28,0,0,13
725,1,1,0,27,1,0,53.1
705,0,3,0,26,1,0,7.8542
870,1,3,0,4,1,1,11.1333
780,1,1,1,43,0,1,211.3375
587,0,2,0,47,0,0,15
736,0,3,0,28.5,0,0,16.1
461,1,1,0,48,0,0,26.55
404,0,3,0,28,1,0,15.85
624,0,3,0,21,0,0,7.8542
322,0,3,0,27,0,0,7.8958
229,0,2,0,18,0,0,13
255,0,3,1,41,0,2,20.2125
692,1,3,1,4,0,1,13.4167
391,1,1,0,36,1,2,120
806,0,3,0,31,0,0,7.775
210,1,1,0,40,0,0,31
862,0,2,0,21,1,0,11.5
646,1,1,0,48,1,0,76.7292
101,0,3,1,28,0,0,7.8958
801,0,2,0,34,0,0,13
878,0,3,0,19,0,0,7.8958
516,0,1,0,47,0,0,34.0208
797,1,1,1,49,0,0,25.9292
395,1,3,1,24,0,2,16.7
349,1,3,0,3,1,1,15.9
653,0,3,0,21,0,0,8.4333
74,0,3,0,26,1,0,14.4542
666,0,2,0,32,2,0,73.5
316,1,3,1,26,0,0,7.8542
314,0,3,0,28,0,0,7.8958
619,1,2,1,4,2,1,39
521,1,1,1,30,0,0,93.5
7,0,1,0,54,0,0,51.8625
589,0,3,0,22,0,0,8.05
658,0,3,1,32,1,1,15.5
38,0,3,0,21,0,0,8.05
859,1,3,1,24,0,3,19.2583
50,0,3,1,18,1,0,17.8
310,1,1,1,30,0,0,56.9292
699,0,1,0,49,1,1,110.8833
138,0,1,0,37,1,0,53.1
846,0,3,0,42,0,0,7.55
21,0,2,0,35,0,0,26
135,0,2,0,25,0,0,13
249,1,1,0,37,1,1,52.5542
868,0,1,0,31,0,0,50.4958
15,0,3,1,14,0,0,7.8542
690,1,1,1,15,0,1,211.3375
120,0,3,1,2,4,2,31.275
711,1,1,1,24,0,0,49.5042
848,0,3,0,35,0,0,7.8958
891,0,3,0,32,0,0,7.75
749,0,1,0,19,1,0,53.1
798,1,3,1,31,0,0,8.6833
807,0,1,0,39,0,0,0
51,0,3,0,7,4,1,39.6875
474,1,2,1,23,0,0,13.7917
221,1,3,0,16,0,0,8.05
297,0,3,0,23.5,0,0,7.2292
519,1,2,1,36,1,0,26
852,0,3,0,74,0,0,7.775
290,1,3,1,22,0,0,7.75
420,0,3,1,10,0,2,24.15
231,1,1,1,35,1,0,83.475
805,1,3,0,27,0,0,6.975
240,0,2,0,33,0,0,12.275
818,0,2,0,31,1,1,37.0042
707,1,2,1,45,0,0,13.5
390,1,2,1,17,0,0,12
337,0,1,0,29,1,0,66.6
45,1,3,1,19,0,0,7.8792
477,0,2,0,34,1,0,21
26,1,3,1,38,1,5,31.3875
802,1,2,1,31,1,1,26.25
822,1,3,0,27,0,0,8.6625
605,1,1,0,35,0,0,26.55
178,0,1,1,50,0,0,28.7125
544,1,2,0,32,1,0,26
259,1,1,1,35,0,0,512.3292
845,0,3,0,17,0,0,8.6625
207,0,3,0,32,1,0,15.85
750,0,3,0,31,0,0,7.75
494,0,1,0,71,0,0,49.5042
763,1,3,0,20,0,0,7.2292
583,0,2,0,54,0,0,26
403,0,3,1,21,1,0,9.825
609,1,2,1,22,1,2,41.5792
398,0,2,0,46,0,0,26
267,0,3,0,16,4,1,39.6875
308,1,1,1,17,1,0,108.9
353,0,3,0,15,1,1,7.2292
95,0,3,0,59,0,0,7.25
312,1,1,1,18,2,2,262.375
629,0,3,0,26,0,0,7.8958
856,1,3,1,18,0,1,9.35
263,0,1,0,52,1,1,79.65
638,0,2,0,31,1,1,26.25
402,0,3,0,26,0,0,8.05
550,1,2,0,8,1,1,36.75
729,0,2,0,25,1,0,26
276,1,1,1,63,1,0,77.9583
617,0,3,0,34,1,1,14.4
35,0,1,0,28,1,0,82.1708
732,0,3,0,11,0,0,18.7875
264,0,1,0,40,0,0,0
94,0,3,0,26,1,2,20.575
12,1,1,1,58,0,0,26.55
463,0,1,0,47,0,0,38.5
694,0,3,0,25,0,0,7.225
41,0,3,1,40,1,0,9.475
144,0,3,0,19,0,0,6.75
582,1,1,1,39,1,1,110.8833
150,0,2,0,42,0,0,13
443,0,3,0,25,1,0,7.775
620,0,2,0,26,0,0,10.5
233,0,2,0,59,0,0,13.5
64,0,3,0,4,3,2,27.9
346,1,2,1,24,0,0,13
234,1,3,1,5,4,2,31.3875
273,1,2,1,41,0,1,19.5
813,0,2,0,35,0,0,10.5
173,1,3,1,1,1,1,11.1333
114,0,3,1,20,1,0,9.825
650,1,3,1,23,0,0,7.55
456,1,3,0,29,0,0,7.8958
191,1,2,1,32,0,0,13
622,1,1,0,42,1,0,52.5542
738,1,1,0,35,0,0,512.3292
509,0,3,0,28,0,0,22.525
284,1,3,0,19,0,0,8.05
60,0,3,0,11,5,2,46.9
663,0,1,0,47,0,0,25.5875
149,0,2,0,36.5,0,2,26
126,1,3,0,12,1,0,11.2417
289,1,2,0,42,0,0,13
700,0,3,0,42,0,0,7.65
778,1,3,1,5,0,0,12.475
637,0,3,0,32,0,0,7.925
437,0,3,1,21,2,2,34.375
454,1,1,0,49,1,0,89.1042
703,0,3,1,18,0,1,14.4542
134,1,2,1,29,1,0,26
720,0,3,0,33,0,0,7.775
180,0,3,0,36,0,0,0
256,1,3,1,29,0,2,15.2458
250,0,2,0,54,1,0,26
84,0,1,0,28,0,0,47.1
377,1,3,1,22,0,0,7.25
222,0,2,0,27,0,0,13
219,1,1,1,32,0,0,76.2917
111,0,1,0,47,0,0,52
262,1,3,0,3,4,2,31.3875
268,1,3,0,25,1,0,7.775
371,1,1,0,25,1,0,55.4417
152,1,1,1,22,1,0,66.6
490,1,3,0,9,1,1,15.9
52,0,3,0,21,0,0,7.8
766,1,1,1,51,1,0,77.9583
185,1,3,1,4,0,2,22.025
397,0,3,1,31,0,0,7.8542
608,1,1,0,27,0,0,30.5
428,1,2,1,19,0,0,26
672,0,1,0,31,1,0,52
450,1,1,0,52,0,0,30.5
139,0,3,0,16,0,0,9.2167
746,0,1,0,70,1,1,71
837,0,3,0,21,0,0,8.6625
54,1,2,1,29,1,0,26
448,1,1,0,34,0,0,26.55
641,0,3,0,20,0,0,7.8542
417,1,2,1,34,1,1,32.5
386,0,2,0,18,0,0,73.5
427,1,2,1,28,1,0,26
554,1,3,0,22,0,0,7.225
208,1,3,0,26,0,0,18.7875
591,0,3,0,35,0,0,7.125
771,0,3,0,24,0,0,9.5
676,0,3,0,18,0,0,7.775
648,1,1,0,56,0,0,35.5
132,0,3,0,20,0,0,7.05
706,0,2,0,39,0,0,26
858,1,1,0,51,0,0,26.55
93,0,1,0,46,1,0,61.175
269,1,1,1,58,0,1,153.4625
431,1,1,0,28,0,0,26.55
773,0,2,1,57,0,0,10.5
682,1,1,0,27,0,0,76.7292
680,1,1,0,36,0,1,512.3292
24,1,1,0,28,0,0,35.5
133,0,3,1,47,1,0,14.5
109,0,3,0,38,0,0,7.8958
339,1,3,0,45,0,0,8.05
14,0,3,0,39,1,5,31.275
103,0,1,0,21,0,1,77.2875
327,0,3,0,61,0,0,6.2375
557,1,1,1,48,1,0,39.6
808,0,3,1,18,0,0,7.775
379,0,3,0,20,0,0,4.0125
825,0,3,0,2,4,1,39.6875
854,1,1,1,16,0,1,39.4
611,0,3,1,39,1,5,31.275
814,0,3,1,6,4,2,31.275
506,0,1,0,18,1,0,108.9
716,0,3,0,19,0,0,7.65
137,1,1,1,19,0,2,26.2833
789,1,3,0,1,1,2,20.575
70,0,3,0,26,2,0,8.6625
836,1,1,1,39,1,1,83.1583
731,1,1,1,29,0,0,211.3375
34,0,2,0,66,0,0,10.5
691,1,1,0,31,1,0,57
551,1,1,0,17,0,2,110.8833
484,1,3,1,63,0,0,9.5875
526,0,3,0,40.5,0,0,7.75
890,1,1,0,26,0,0,30
812,0,3,0,39,0,0,24.15
209,1,3,1,16,0,0,7.75
718,1,2,1,27,0,0,10.5
247,0,3,1,25,0,0,7.775
881,1,2,1,25,0,1,26
190,0,3,0,36,0,0,7.8958
128,1,3,0,24,0,0,7.1417
604,0,3,0,44,0,0,8.05
449,1,3,1,5,2,1,19.2583
200,0,2,1,24,0,0,13
679,0,3,1,43,1,6,46.9
354,0,3,0,25,1,0,17.8
541,1,1,1,36,0,2,71
796,0,2,0,39,0,0,13
63,0,1,0,45,1,0,83.475
356,0,3,0,28,0,0,9.5
220,0,2,0,30,0,0,10.5
782,1,1,1,17,1,0,57
464,0,2,0,48,0,0,13
232,0,3,0,29,0,0,7.775
627,0,2,0,57,0,0,12.35
513,1,1,0,36,0,0,26.2875
333,0,1,0,38,0,1,153.4625
125,0,1,0,54,0,1,77.2875
527,1,2,1,50,0,0,10.5
625,0,3,0,21,0,0,16.1
483,0,3,0,50,0,0,8.05
76,0,3,0,25,0,0,7.65
91,0,3,0,29,0,0,8.05
880,1,1,1,56,0,1,83.1583
374,0,1,0,22,0,0,135.6333
28,0,1,0,19,3,2,263
82,1,3,0,29,0,0,9.5
172,0,3,0,4,4,1,29.125
171,0,1,0,61,0,0,33.5
318,0,2,0,54,0,0,14
671,1,2,1,40,1,1,39
378,0,1,0,27,0,2,211.5
85,1,2,1,17,0,0,10.5
124,1,2,1,32.5,0,0,13
566,0,3,0,24,2,0,24.15
53,1,1,1,49,1,0,76.7292
722,0,3,0,17,1,0,7.0542
17,0,3,0,2,4,1,29.125
751,1,2,1,4,1,1,23
433,1,2,1,42,1,0,26
243,0,2,0,29,0,0,10.5
610,1,1,1,40,0,0,153.4625
370,1,1,1,24,0,0,69.3
392,1,3,0,21,0,0,7.7958
756,1,2,0,0.67,1,1,14.5
616,1,2,1,24,1,2,65
537,0,1,0,45,0,0,26.55
393,0,3,0,28,2,0,7.925
501,0,3,0,17,0,0,8.6625
447,1,2,1,13,0,1,19.5
295,0,3,0,24,0,0,7.8958
633,1,1,0,32,0,0,30.5
439,0,1,0,64,1,4,263
695,0,1,0,60,0,0,26.55
581,1,2,1,25,1,1,30
572,1,1,1,53,2,0,51.4792
772,0,3,0,48,0,0,7.8542
453,0,1,0,30,0,0,27.75
819,0,3,0,43,0,0,6.45
863,1,1,1,48,0,0,25.9292
684,0,3,0,14,5,2,46.9
441,1,2,1,45,1,1,26.25
25,0,3,1,8,3,1,21.075
193,1,3,1,19,1,0,7.8542
245,0,3,0,30,0,0,7.225
643,0,3,1,2,3,2,27.9
87,0,3,0,16,1,3,34.375
165,0,3,0,1,4,1,39.6875
311,1,1,1,24,0,0,83.1583
357,1,1,1,22,0,1,55
166,1,3,0,9,0,2,20.525
366,0,3,0,30,0,0,7.25
79,1,2,0,0.83,0,2,29
702,1,1,0,35,0,0,26.2875
762,0,3,0,41,0,0,7.125
844,0,3,0,34.5,0,0,6.4375
205,1,3,0,18,0,0,8.05
517,1,2,1,34,0,0,10.5
788,0,3,0,8,4,1,29.125
10,1,2,1,14,1,0,30.0708
529,0,3,0,39,0,0,7.925
586,1,1,1,18,0,2,79.65
321,0,3,0,22,0,0,7.25
363,0,3,1,45,0,1,14.4542
701,1,1,1,18,1,0,227.525
408,1,2,0,3,1,1,18.75
504,0,3,1,37,0,0,9.5875
758,0,2,0,18,0,0,11.5
678,1,3,1,18,0,0,9.8417
887,0,2,0,27,0,0,13
842,0,2,0,16,0,0,10.5
487,1,1,1,35,1,0,90
500,0,3,0,24,0,0,7.7958
277,0,3,1,45,0,0,7.75
287,1,3,0,30,0,0,9.5
100,0,2,0,34,1,0,26
727,1,2,1,30,3,0,21
743,1,1,1,21,2,2,262.375
203,0,3,0,34,0,0,6.4958
372,0,3,0,18,1,0,6.4958
341,1,2,0,2,1,1,26
683,0,3,0,20,0,0,9.225
248,1,2,1,24,0,2,14.5
